,tick
0,A
1,AAL
2,AAP
3,AAPL
4,ABBV
5,ABC
6,ABEV
7,ABT
8,ACN
9,ADBE
10,ADI
11,ADM
12,ADNT
13,ADP
14,ADS
15,ADSK
16,AEE
17,AES
18,AFL
19,AIG
20,AIZ
21,AJG
22,AKAM
23,ALB
24,ALGN
25,ALK
26,ALL
27,ALLE
28,ALXN
29,AMAT
30,AMD
31,AME
32,AMGN
33,AMP
34,AMT
35,AMZN
36,ANSS
37,ANTM
38,APA
39,APD
40,APH
41,APTV
42,ARCO
43,ARE
44,ATVI
45,AVB
46,AVD
47,AVGO
48,AVTR
49,AVY
50,AXP
51,AZO
52,BA
53,BABA
54,BAC
55,BAX
56,BAYRY
57,BBBY
58,BBY
59,BCS
60,BEN
61,BIDU
62,BIG
63,BIIB
64,BKR
65,BLK
66,BLL
67,BMY
68,BP
69,BTI
70,BUD
71,BWA
72,C
73,CAH
74,CAT
75,CB
76,CBOE
77,CBRE
78,CCI
79,CCL
80,CDNS
81,CERN
82,CFX
83,CHD
84,CHGG
85,CHL
86,CHRW
87,CHU
88,CI
89,CINF
90,CL
91,CLB
92,CLX
93,CMA
94,CMCSA
95,CMD
96,CMG
97,CMI
98,CNC
99,CNP
100,COF
101,COG
102,COP
103,COST
104,COTY
105,CPB
106,CPRI
107,CRM
108,CSCO
109,CSX
110,CTAS
111,CTXS
112,CUK
113,CVE
114,CVS
115,CVX
116,CXO
117,D
118,DAL
119,DD
120,DE
121,DELL
122,DFS
123,DG
124,DGX
125,DHI
126,DIS
127,DISH
128,DKS
129,DLTR
130,DOOO
131,DOV
132,DOW
133,DRE
134,DRI
135,DTE
136,DUK
137,DVN
138,DXC
139,E
140,EA
141,EBAY
142,ECL
143,ED
144,EFX
145,EIX
146,EMN
147,EMR
148,ENB
149,EOG
150,EQIX
151,EQR
152,ESRT
153,ESS
154,ETR
155,ETRN
156,EVR
157,EW
158,EXC
159,EXPD
160,EXPE
161,EXR
162,F
163,FANG
164,FAST
165,FB
166,FBHS
167,FCX
168,FDX
169,FE
170,FFIV
171,FI
172,FIS
173,FISV
174,FITB
175,FITBI
176,FLIR
177,FLS
178,FMC
179,FOX
180,FRT
181,FTEC
182,FTI
183,FTV
184,GD
185,GE
186,GILD
187,GIS
188,GLW
189,GM
190,GOOG
191,GOOGL
192,GPC
193,GPN
194,GPS
195,GRMN
196,GRPN
197,GRUB
198,GS
199,GSH
200,GSK
201,GWW
202,HAL
203,HAS
204,HBAN
205,HBI
206,HCA
207,HD
208,HDS
209,HES
210,HGH
211,HII
212,HOG
213,HOLX
214,HON
215,HPE
216,HPQ
217,HRI
218,HRL
219,HSIC
220,HST
221,HSY
222,HUM
223,IBM
224,IDXX
225,IFF
226,ILMN
227,IMBBY
228,INCY
229,ING
230,INGR
231,INTC
232,INTU
233,IP
234,IQ
235,IQV
236,IRM
237,ISRG
238,IT
239,ITW
240,IVZ
241,J
242,JCI
243,JLL
244,JNJ
245,JNPR
246,JPM
247,JWN
248,K
249,KEY
250,KHC
251,KIM
252,KMB
253,KMI
254,KMX
255,KO
256,KOF
257,KR
258,KSU
259,L
260,LB
261,LEG
262,LEN
263,LIN
264,LKQ
265,LLY
266,LMT
267,LNC
268,LNT
269,LRCX
270,LTHM
271,LUV
272,LYB
273,LYG
274,M
275,MA
276,MAC
277,MAR
278,MAS
279,MAT
280,MCHP
281,MCK
282,MDLZ
283,MDT
284,MET
285,MGA
286,MGM
287,MHK
288,MKC
289,MKGAF
290,MLCO
291,MLM
292,MMM
293,MNST
294,MO
295,MOS
296,MPC
297,MRK
298,MRNA
299,MRO
300,MS
301,MSFT
302,MSI
303,MSTR
304,MTB
305,MTD
306,MU
307,MYL
308,NBL
309,NCLH
310,NDAQ
311,NEE
312,NFLX
313,NKE
314,NLSN
315,NOC
316,NOV
317,NOW
318,NRG
319,NSC
320,NTAP
321,NTR
322,NUE
323,NVDA
324,NWL
325,NWSA
326,NXPI
327,NXST
328,O
329,OKE
330,OMC
331,ORCL
332,OXY
333,PAYX
334,PCAR
335,PE
336,PEG
337,PEP
338,PFE
339,PFG
340,PFGC
341,PFH
342,PG
343,PGR
344,PH
345,PHM
346,PK
347,PKI
348,PLD
349,PM
350,PNR
351,PNW
352,PPC
353,PPG
354,PPL
355,PRGO
356,PSA
357,PSX
358,PVH
359,PWR
360,PXD
361,PYPL
362,QCOM
363,QRVO
364,RCL
365,REG
366,REGN
367,RES
368,RHI
369,RJF
370,RL
371,RMD
372,ROK
373,ROKU
374,ROST
375,RSG
376,RTX
377,SABR
378,SAM
379,SBGI
380,SBUX
381,SEE
382,SHW
383,SJM
384,SLB
385,SLM
386,SMPL
387,SNA
388,SNE
389,SNPS
390,SNY
391,SO
392,SPCE
393,SPG
394,SPOT
395,SPY
396,SQ
397,SRE
398,STNE
399,STOR
400,STT
401,STX
402,SWG
403,SWK
404,SWKS
405,SYF
406,SYK
407,SYY
408,T
409,TAP
410,TCOM
411,TDG
412,TEL
413,TEX
414,TFC
415,TGT
416,TIF
417,TM
418,TMO
419,TMUS
420,TPR
421,TRIP
422,TRV
423,TS
424,TSCO
425,TSLA
426,TSM
427,TSN
428,TTM
429,TV
430,TWTR
431,TXN
432,TXT
433,UA
434,UAL
435,UDR
436,UHS
437,ULTA
438,UNH
439,UNM
440,UNP
441,UPS
442,URBN
443,URI
444,USFD
445,V
446,VAR
447,VFC
448,VLO
449,VMC
450,VNO
451,VRSN
452,VRTX
453,VTR
454,VVV
455,VZ
456,WAT
457,WB
458,WBA
459,WDC
460,WEC
461,WELL
462,WFC
463,WHR
464,WLTW
465,WM
466,WMB
467,WMT
468,WRK
469,WU
470,WY
471,WYNN
472,XEL
473,XLNX
474,XOM
475,XRAY
476,XRX
477,XYL
478,ZBH
479,ZM
